,label,snv,sna,cn,jc,aa,pa,sd,prj_cnv,prj_cna,prj_jcv,prj_jca,prj_aav,prj_aaa,prj_pav,prj_paa
0,1,3,52,2,0.03508771929824561,0.8957294239399778,156,1,1084,51,0.31477139507620167,0.46875,268.9600415907234,15.23272728090658,50802780,7698866
1,0,3,4,2,0.03508771929824561,0.9064580218683431,12,3,1076,52,0.2287901339570487,0.42424242424242425,265.5173265176445,15.255619974132463,151738440,3550110
2,0,3,23,0,0.0,0.0,69,27,748,19,0.2076624097723487,0.16853932584269662,178.08572582153974,5.672574717127834,43745688,6682560
3,1,7,517,7,0.046357615894039736,2.424305396839185,3619,3,4073,145,0.9686520376175548,0.8176100628930818,1020.9471986839283,48.56536639001645,1527012140,287294121
4,0,7,473,7,0.045454545454545456,2.424305396839185,3311,3,4073,148,0.9643974019725764,0.8192771084337349,1020.9472923420701,50.870066745453954,1527012140,205933887
5,0,7,554,7,0.041666666666666664,2.424305396839185,3878,3,4073,161,0.9533816425120772,0.8611111111111112,1020.9515602481163,55.91078880897715,1527012140,291477015
6,1,3,3575,3,0.01694915254237288,1.2274709590565758,10725,3,1128,151,0.341741002768379,0.7704081632653061,283.1561052883061,52.389847578802915,244022120,401176440
7,0,3,1,1,0.1111111111111111,0.35609860143758665,3,3,647,6,0.4223237597911227,0.041666666666666664,159.41644673596394,2.334074206628893,8341710,216540
8,0,3,25,3,0.037037037037037035,1.2274709590565758,75,3,1123,79,0.4607425441265977,0.5307692307692308,281.294260914197,24.267318214119356,244022120,7319052
9,1,9,3289,4,0.021739130434782608,1.3090544825508055,29601,3,3909,171,0.9994886218358476,0.9047619047619048,970.9153488932855,63.401136932731546,2312213692,818610030
10,0,9,31,5,0.05154639175257732,1.593382557323523,279,3,3864,96,0.8888613861386139,0.6013071895424836,957.4410827051549,29.587945547460198,1734909870,40385547
11,0,9,43,5,0.047619047619047616,1.593382557323523,387,3,3909,100,0.8602975360297536,0.5521472392638037,970.8957851681313,31.481777154714777,1423492299,35171658
12,1,1,3575,0,0.0,0.0,3575,1,2787,0,0.9992828970957333,0.0,676.3645512718533,0.0,529852808,0
13,0,1,27,1,0.008130081300813009,0.2814304284315703,27,3,2787,115,0.7000753579502638,0.6216216216216216,676.3592042322407,36.82024825680255,396288980,40490030
14,0,1,5,0,0.0,0.0,5,9,408,6,0.1252686521338655,0.03389830508474576,95.39265811683826,1.7609355918671459,16254910,1000440
15,1,5,310,4,0.026490066225165563,1.2559066015275557,1550,3,3864,142,0.9221945137157107,0.783625730994152,957.747149389365,47.666922876850386,1538505332,209940039
16,0,5,355,4,0.024390243902439025,1.2559066015275557,1775,3,3864,155,0.9601016518424397,0.8072916666666666,957.747149389365,53.91601306257168,1286496666,231031251
17,0,5,4,0,0.0,0.0,20,8,1139,3,0.26743366987555767,0.01935483870967742,273.7155852146888,0.7625829365269833,98461090,677511
18,1,4,515,3,0.020134228187919462,1.3519688199603865,2060,3,1044,137,0.7183988764044944,0.8404907975460123,262.7436048254259,45.453806516135415,243439132,90894294
19,0,4,52,0,0.0,0.0,208,5,883,52,0.20614035087719298,0.39285714285714285,214.4326212282777,15.385568345364936,60959165,5917653
20,0,4,1438,3,0.019230769230769232,1.3519688199603865,5752,3,1044,143,0.5261806981519507,0.8125,262.74718656787746,49.35505127231722,243439132,167952195
21,1,7,643,5,0.034722222222222224,1.5503511086943371,4501,3,4000,140,0.984009840098401,0.7914110429447853,996.6967493066237,47.61053776915228,1884217216,264788973
22,0,7,12,4,0.125,1.206147367880928,84,14,3969,31,0.8416030534351145,0.20945945945945946,987.2518136386998,8.511281721206096,1133711264,12637053
23,0,7,185,5,0.03225806451612903,1.5503511086943371,1295,3,4000,150,0.9389548693586698,0.8192090395480226,996.6967493066237,50.87332226583384,1884217216,165636711
24,1,3,517,3,0.019867549668874173,0.9460930991284807,1551,3,3149,145,0.8763943322279167,0.8033707865168539,779.1319968511942,48.56536639001645,800692376,287294121
25,0,3,13,3,0.06521739130434782,0.9460930991284807,39,3,3149,44,0.7106747912435116,0.24561403508771928,779.1240420578193,13.487734192369299,522540128,7658820
26,0,3,23,2,0.1,0.6223845245204342,69,25,2828,19,0.7884025648173961,0.11377245508982035,693.8688270870947,5.672574717127834,172648212,14139360
27,1,3,185,3,0.01935483870967742,1.1636640774970877,555,3,724,144,0.5214105793450882,0.8214285714285714,189.6119126133997,49.41354446889833,167234272,54655560
28,0,3,3,0,0.0,0.0,9,5,570,11,0.13013698630136986,0.0728476821192053,140.93706246177538,2.752681274227526,53619624,398520
29,0,3,60,3,0.02564102564102564,1.1636640774970877,180,3,724,116,0.43157894736842106,0.703030303030303,189.6059955591408,36.779009045259016,104821616,21218760
30,1,7,223,5,0.037037037037037035,2.7916710153527293,1561,1,657,128,0.8757575757575757,0.7290322580645161,175.7115363683516,41.26844974360754,133985790,65001126
